hex_id;Geocodigo_Setor;Distrito;Intersect_Area
102x234;355030862000099;PINHEIROS;173155586124009.28
102x235;355030862000099;PINHEIROS;257360352293841.03
102x236;355030862000099;PINHEIROS;63550063953385.54
103x234;355030862000099;PINHEIROS;149844439052874.97
103x235;355030862000099;PINHEIROS;141319765664813.97
103x236;355030862000099;PINHEIROS;27236719889350.293
104x234;355030862000099;PINHEIROS;21409986805458.117
100x232;355030862000100;PINHEIROS;42229811148455.92
100x233;355030862000100;PINHEIROS;146971532145860.34
101x232;355030862000100;PINHEIROS;121508443191867.36
101x233;355030862000100;PINHEIROS;172765404954446.28
101x234;355030862000100;PINHEIROS;126113008727678.97
102x231;355030862000100;PINHEIROS;19639072045334.23
102x232;355030862000100;PINHEIROS;169464174143594.94
102x233;355030862000100;PINHEIROS;120206578351875.9
102x234;355030862000100;PINHEIROS;41925070505095.664
103x232;355030862000100;PINHEIROS;26529608211732.277
103x233;355030862000100;PINHEIROS;6792896292074.141
101x231;355030862000101;PINHEIROS;11946998520632.111
101x232;355030862000101;PINHEIROS;125926490687596.4
102x231;355030862000101;PINHEIROS;8414298904292.633
99x234;355030862000102;PINHEIROS;9312765361519.771
100x233;355030862000102;PINHEIROS;122595336010445.48
100x234;355030862000102;PINHEIROS;72348586134609.56
101x234;355030862000102;PINHEIROS;146203824106577.7
101x235;355030862000102;PINHEIROS;87863222257102.92
102x234;355030862000102;PINHEIROS;35158707243673.61
97x233;355030862000103;PINHEIROS;25532329084712.254
97x234;355030862000103;PINHEIROS;19027564430847.254
98x232;355030862000103;PINHEIROS;691466865779.4154
98x233;355030862000103;PINHEIROS;7864449057315.041
98x234;355030862000103;PINHEIROS;63857886190764.36
99x234;355030862000103;PINHEIROS;222881253377313.88
99x235;355030862000103;PINHEIROS;78381785579093.67
100x234;355030862000103;PINHEIROS;228365242294539.3
100x235;355030862000103;PINHEIROS;20205914782184.06
101x235;355030862000103;PINHEIROS;55076155470723.91
101x236;355030862000103;PINHEIROS;22948187845733.023
95x235;355030862000104;PINHEIROS;8375377528640.075
96x234;355030862000104;PINHEIROS;164438957028983.38
96x235;355030862000104;PINHEIROS;40931368474228.3
97x234;355030862000104;PINHEIROS;192613435365511.4
97x235;355030862000104;PINHEIROS;106997485787445.22
97x236;355030862000104;PINHEIROS;47049662016930.07
98x233;355030862000104;PINHEIROS;83187680097.91599
98x234;355030862000104;PINHEIROS;220418776916547.6
98x235;355030862000104;PINHEIROS;163814572133245.3
98x236;355030862000104;PINHEIROS;1251926563966.0244
99x234;355030862000104;PINHEIROS;109587709030.70903
99x235;355030862000104;PINHEIROS;69694805983856.766
98x244;355030862000105;PINHEIROS;4836792887332.132
98x245;355030862000105;PINHEIROS;46654741293044.84
99x244;355030862000105;PINHEIROS;81856125129.15385
99x245;355030862000105;PINHEIROS;15237401342092.664
99x246;355030862000105;PINHEIROS;99345512182741.22
